Faction,Restrictions,Name,Category,Points,Tag,SelfOnly,Notes
100k,[],Standard of Steel,Banner,65,[],0,Attacks directed at the regiment bearing this banner never count as inspired
100k,[],Regalia of the Empire,Banner,25,C|Regiment::Household Guard,0,Household Guard stands in this regiment have +1 Clash
100k,[],Gilded Rampart,Banner,20,[],0,Character gains Perform a Reform Action with Regiment then take character action
100k,[],Shroud of St. Lazarus,Banner,20,R|IsFearsome,0,Character and all Stands in the Regiment have +1 Resolve to a max of 5 and gain Fearsome
100k,[],Armor of Dominion,Armor,40,[],0,Enemy stands in contact with the character lose the Cleave and Smite rules
100k,[],Indomitable Plate,Armor,25,W|D,1,Character Stand gains +1 Wound and +1 Defense
100k,[],Bakkian Token,Armor,15,E,1,Character Stand gains +1 Evasion
100k,[],Mask of Eaklides,Armor,15,reroll6_defense,1,Character re-rolls Defense rolls of 6
100k,[],The Kiss Farewell,Weapon,30,kiss,1,Character gains Barrage 3 (24 inch Deadly Shot).  If the character already has Barrage it gains +3 to its Barrage Value and the Deadly shot special rule.
100k,[],Caledburn,Weapon,15,IsFlurry,1,Character re-rolls failed To Hit rolls - and opponents must re-roll successful Injury rolls in a Duel
100k,[],Laurean Lance,Weapon,10,BrutalImpact2|RerollImpact,1,Character re-rolls failed To Hit rolls when making Impact Hits and gains Brutal Impact (2)
100k,[],The Flesh Cleaver,Weapon,10,[],1,Character re-rolls failed To Hit rolls when performing a Clash against Monster Stands
100k,[],The Unwrought,Weapon,10,[],1,Character re-rolls failed To Hit rolls when performing a Clash against Brutes
100k,[],Eye of Akelus,Talisman,30,[],0,The character gains the following Supremacy Ability: until the end of the turn all friendly regiments within 6 inches have +1 Volley
100k,[],Finite-State Apparatus,Talisman,30,[],0,Once per game the character stand counts as a spellcaster for purposes of Enemy Interference and enemies within 8 inches cast spells with three less dice rather than the usual one
100k,[],Heraldry of Lions Mane,Talisman,10,[],0,Character has the fearless special rule
100k,[],Ladys Favor,Talisman,10,[],0,The first time the characters stand suffers a wound - roll a D6.  On a 2+ the wound is healed
100k,Theist Priest,Hopes and Prayers,Arcane,30,[],0,Once per game when the character stand would be reduced to 0 wounds or less it is returned to the battlefield with 1 wound remaining at the end of that activation.
100k,[],Elysian Fragment,Arcane,25,[],1,The character has the following Supremacy Ability: Until the end of turn the stand has the Smite special rule
100k,[],Olefants Roar,Arcane,20,[],0,The character has the Seize the Day draw event
100k,Chapter Mage,Chapter Scroll,Arcane,15,[],0,Select 1 spell from a different school to be cast once per game as an Action
Spires,Lineage Highborn,Pheromantic Override,Mutation,60,[],0,Once per game the character stand gains the following Draw Event: choose a friendly regiment within 6 inches.  That Regiment may inmediately perform a free clash - volley - or march action
Spires,Pheromancer|Biomancer,Biotic Wellspring,Mutation,50,[],0,Character has the Biotic Renewal Draw Event
Spires,High Clone Executor|Mimetic Assassin,Hightened Reflexes,Mutation,35,E|E,1,Character has +2 Evasion
